Wavelength,Raw_Spectrum,Smoothed_Spectrum,,,# Smoothing method: Savitzky-Golay
551.30649,374,358.94521,,,
551.48692,359,359.65569,,,
551.66736,362,360.31357,,,
551.84782,381,361.32662,,,
552.02829,334,361.34345,,,
552.20878,367,361.78915,,,
552.38928,352,361.41817,,,
552.5698,382,362.23253,,,
552.75034,367,360.37011,,,
552.93088,377,359.4767,,,
553.11145,350,359.34567,,,
553.29203,367,360.71943,,,
553.47262,328,360.92906,,,
553.65323,380,361.79689,,,
553.83385,372,360.33219,,,
554.01449,348,362.34082,,,
554.19514,347,362.77789,,,
554.37581,382,362.60944,,,
554.5565,349,361.53603,,,
554.7372,382,362.67358,,,
554.91791,328,361.52647,,,
555.09864,381,362.7182,,,
555.27938,373,363.30624,,,
555.46014,352,363.64158,,,
555.64091,352,362.3847,,,
555.8217,374,362.22564,,,
556.00251,367,362.7761,,,
556.18333,346,362.99785,,,
556.36416,344,363.02295,,,
556.54501,360,363.8952,,,
556.72587,337,363.76092,,,
556.90675,372,364.18506,,,
557.08765,367,363.22198,,,
557.26856,413,363.86845,,,
557.44948,380,365.2311,,,
557.63042,393,366.53659,,,
557.81137,335,366.38275,,,
557.99234,385,367.43582,,,
558.17333,360,366.04435,,,
558.35433,398,366.80342,,,
558.53534,336,366.69456,,,
558.71637,341,366.81318,,,
558.89742,355,365.42304,,,
559.07848,387,366.30032,,,
559.25955,335,365.51781,,,
559.44064,389,366.59859,,,
559.62175,349,365.979,,,
559.80287,367,366.83542,,,
559.984,365,367.17701,,,
560.16515,393,367.05393,,,
