Wavelength,Raw_Spectrum,Smoothed_Spectrum,,,# Smoothing method: Savitzky-Golay
509.85364,280,283.45799,,,
510.03058,290,283.13608,,,
510.20753,267,283.67485,,,
510.3845,303,283.80303,,,
510.56149,303,282.34567,,,
510.73849,301,283.45695,,,
510.9155,265,282.86459,,,
511.09253,269,283.26947,,,
511.26957,271,282.87587,,,
511.44663,276,283.7154,,,
511.62371,253,284.99452,,,
511.8008,292,285.07511,,,
511.9779,309,284.73589,,,
512.15502,301,286.36909,,,
512.33216,293,288.43555,,,
512.50931,282,288.99053,,,
512.68647,278,289.71021,,,
512.86365,293,289.86339,,,
513.04085,270,290.63847,,,
513.21806,302,291.32071,,,
513.39528,297,291.32445,,,
513.57252,297,292.53926,,,
513.74977,292,292.03617,,,
513.92704,302,290.69761,,,
514.10433,293,289.55761,,,
514.28163,306,290.67127,,,
514.45895,270,290.8862,,,
514.63628,313,291.15855,,,
514.81362,274,290.90806,,,
514.99098,312,290.5515,,,
515.16836,271,290.7665,,,
515.34575,308,291.06381,,,
515.52315,288,290.22,,,
515.70057,296,289.70758,,,
515.87801,286,289.87116,,,
516.05546,274,289.32981,,,
516.23292,308,287.73148,,,
516.4104,313,287.30619,,,
516.5879,271,286.92777,,,
516.76541,272,286.84337,,,
516.94294,273,286.82369,,,
517.12048,270,286.11289,,,
517.29803,281,284.99092,,,
517.4756,289,285.75082,,,
517.65319,276,284.68951,,,
517.83079,281,284.14755,,,
518.00841,270,283.5093,,,
518.18604,302,283.55573,,,
518.36368,292,282.10863,,,
518.54134,306,281.62989,,,
518.71902,268,281.14562,,,
518.89671,271,280.78308,,,
519.07442,276,279.16415,,,
519.25214,266,280.16592,,,
519.42987,305,279.80817,,,
519.60763,291,280.7739,,,
519.78539,290,279.94498,,,
519.96317,293,281.14111,,,
520.14097,282,280.42354,,,
520.31878,254,280.40198,,,
520.49661,276,280.21461,,,
520.67445,283,280.21561,,,
520.8523,278,280.20302,,,
521.03018,296,281.7337,,,
521.20806,282,281.68357,,,
521.38596,272,282.07857,,,
521.56388,283,282.32461,,,
521.74181,292,283.56524,,,
521.91976,239,282.82047,,,
522.09772,271,282.96,,,
522.2757,284,282.81807,,,
522.45369,285,282.88786,,,
522.6317,262,283.27869,,,
522.80972,310,284.4317,,,
522.98776,293,283.99672,,,
523.16581,288,286.05561,,,
523.34387,302,286.12025,,,
523.52196,314,285.34236,,,
523.70005,271,284.58255,,,
523.87817,278,284.64131,,,
524.05629,271,285.35745,,,
524.23444,292,285.41453,,,
524.41259,260,285.57215,,,
524.59077,308,286.19144,,,
524.76895,298,286.97064,,,
524.94715,298,286.61813,,,
525.12537,280,286.14168,,,
525.3036,319,286.64584,,,
525.48185,280,286.91338,,,
525.66011,294,287.10666,,,
525.83839,278,287.24365,,,
526.01668,281,286.86561,,,
526.19499,237,286.39514,,,
526.37332,312,287.33274,,,
526.55165,294,286.44941,,,
526.73001,292,287.21858,,,
526.90837,290,287.23224,,,
527.08676,265,287.35224,,,
527.26515,268,286.25129,,,
527.44357,316,287.48733,,,
527.622,248,286.81284,,,
527.80044,274,286.40617,,,
527.9789,304,287.43729,,,
528.15737,311,288.69913,,,
528.33586,272,288.22764,,,
528.51436,288,288.02014,,,
528.69288,301,287.72224,,,
528.87141,301,288.42893,,,
529.04996,292,287.78983,,,
529.22852,276,288.1538,,,
529.4071,282,287.51693,,,
529.5857,306,288.58269,,,
529.7643,280,288.14442,,,
529.94293,281,289.35618,,,
530.12157,303,289.63317,,,
530.30022,294,290.57098,,,
530.47889,302,290.50518,,,
530.65757,319,289.86754,,,
530.83627,283,288.26802,,,
531.01498,287,289.27264,,,
531.19371,253,290.2454,,,
531.37246,286,290.66088,,,
531.55121,282,290.25434,,,
531.72999,298,290.26787,,,
531.90878,265,289.41931,,,
532.08758,316,289.92371,,,
532.2664,307,288.36062,,,
532.44523,274,287.90344,,,
532.62408,280,288.77121,,,
532.80295,297,289.42966,,,
532.98183,294,289.30581,,,
533.16072,288,289.51544,,,
533.33963,272,290.68144,,,
533.51855,281,291.6014,,,
533.69749,294,291.79345,,,
533.87645,325,292.11328,,,
534.05542,271,291.90795,,,
534.2344,304,292.76471,,,
534.4134,291,292.04926,,,
534.59242,286,292.78156,,,
534.77144,276,292.59125,,,
534.95049,293,293.38477,,,
535.12955,317,293.54647,,,
535.30862,304,295.56663,,,
535.48771,289,294.98226,,,
535.66682,273,295.4052,,,
535.84594,289,295.20043,,,
536.02507,318,295.67777,,,
536.20422,278,296.32975,,,
536.38339,306,297.40855,,,
536.56257,312,296.42067,,,
536.74176,317,298.00247,,,
536.92097,303,298.34995,,,
537.1002,288,297.2618,,,
537.27944,306,297.45464,,,
537.45869,295,297.94768,,,
537.63796,298,298.48189,,,
537.81725,278,298.53741,,,
537.99655,286,298.51994,,,
538.17586,303,298.55797,,,
538.35519,281,297.47091,,,
538.53454,302,298.4905,,,
538.7139,291,298.04249,,,
538.89327,321,297.53274,,,
539.07266,271,296.25452,,,
539.25207,325,295.0783,,,
539.43149,286,293.86575,,,
539.61093,318,294.34766,,,
539.79038,276,295.11735,,,
539.96984,332,294.90677,,,
540.14932,305,293.63664,,,
540.32882,288,293.70674,,,
540.50833,292,293.6551,,,
540.68785,278,295.12336,,,
540.86739,275,293.97354,,,
541.04695,309,295.67859,,,
541.22652,271,295.55827,,,
541.40611,306,296.27366,,,
541.58571,325,296.13409,,,
541.76532,286,296.55786,,,
541.94496,290,297.59945,,,
542.1246,284,298.19355,,,
542.30426,292,298.83671,,,
542.48394,273,299.52925,,,
542.66363,272,299.133,,,
542.84334,322,299.73796,,,
543.02306,286,299.58386,,,
543.20279,280,300.64561,,,
543.38254,314,300.60389,,,
543.56231,333,301.93363,,,
543.74209,330,302.11144,,,
543.92189,324,303.04772,,,
544.1017,282,303.21527,,,
544.28153,296,304.25425,,,
544.46137,321,303.73544,,,
544.64123,349,306.04161,,,
544.8211,288,305.79397,,,
545.00098,304,306.54103,,,
545.18089,281,308.08363,,,
545.3608,331,307.83827,,,
545.54073,260,307.96523,,,
545.72068,329,309.15235,,,
545.90064,313,308.00571,,,
546.08062,335,308.70006,,,
546.26061,304,309.55856,,,
546.44062,301,310.13495,,,
546.62064,306,310.09656,,,
546.80068,308,309.28463,,,
546.98073,283,309.36764,,,
547.1608,325,308.50026,,,
547.34088,310,306.53691,,,
547.52098,314,307.81166,,,
547.70109,292,306.95993,,,
547.88122,318,306.59474,,,
548.06136,304,305.93019,,,
548.24152,291,307.21835,,,
548.42169,319,308.18542,,,
548.60187,309,308.89959,,,
548.78208,313,308.84835,,,
548.96229,326,309.34941,,,
549.14253,287,310.30553,,,
549.32278,353,312.14399,,,
549.50304,306,312.83667,,,
549.68332,278,313.9231,,,
549.86361,320,313.68267,,,
550.04392,300,315.23803,,,
550.22424,294,314.14145,,,
550.40458,334,316.00591,,,
550.58493,306,315.33638,,,
550.7653,323,316.2097,,,
550.94568,294,316.13108,,,
551.12608,315,316.78896,,,
551.30649,335,316.73839,,,
551.48692,312,317.15849,,,
551.66736,322,316.1487,,,
551.84782,357,317.24046,,,
552.02829,298,317.33172,,,
552.20878,334,318.50549,,,
552.38928,308,317.99599,,,
552.5698,353,318.26499,,,
552.75034,312,317.3685,,,
552.93088,325,317.10077,,,
553.11145,334,317.56169,,,
553.29203,319,318.60529,,,
553.47262,310,319.12225,,,
553.65323,319,320.31151,,,
553.83385,323,319.79266,,,
554.01449,302,322.54074,,,
554.19514,299,322.94451,,,
554.37581,316,322.78081,,,
554.5565,303,322.86428,,,
554.7372,318,322.92849,,,
554.91791,280,322.60565,,,
555.09864,352,323.89005,,,
555.27938,329,322.82025,,,
555.46014,335,323.22517,,,
555.64091,306,322.06725,,,
555.8217,334,322.07096,,,
556.00251,321,322.59918,,,
556.18333,344,322.74303,,,
556.36416,315,322.34531,,,
556.54501,336,324.09117,,,
556.72587,303,324.23939,,,
556.90675,336,324.96206,,,
557.08765,337,324.78387,,,
557.26856,368,326.17638,,,
557.44948,336,326.29419,,,
557.63042,340,327.02514,,,
557.81137,310,327.8993,,,
557.99234,330,328.7623,,,
558.17333,321,329.24533,,,
558.35433,339,329.80693,,,
558.53534,293,330.20245,,,
558.71637,325,330.68858,,,
558.89742,310,329.36232,,,
559.07848,340,329.85651,,,
559.25955,320,329.17436,,,
559.44064,322,329.6177,,,
559.62175,304,328.58706,,,
559.80287,357,329.64121,,,
559.984,326,330.14571,,,
560.16515,350,331.29874,,,
